type,name,href,img
草部,丹参,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E4%B8%B9%E5%8F%82,http://p.ayxbk.com/images/thumb/4/4c/Bk0xi.jpg/220px-Bk0xi.jpg
草部,紫参,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%B4%AB%E5%8F%82,http://p.ayxbk.com/images/3/37/Bkmum.jpg
草部,紫草,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%B4%AB%E8%8D%89,http://p.ayxbk.com/images/thumb/3/39/Bk578.jpg/220px-Bk578.jpg
草部,白头翁,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E5%A4%B4%E7%BF%81,http://p.ayxbk.com/images/thumb/5/58/Bk09f.jpg/220px-Bk09f.jpg
草部,白及,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E5%8F%8A,http://p.ayxbk.com/images/thumb/2/2c/Bkmrm.jpg/220px-Bkmrm.jpg
草部,三七,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E4%B8%89%E4%B8%83,http://p.ayxbk.com/images/thumb/6/6e/Bkklp.jpg/220px-Bkklp.jpg
草部,黄连,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%BB%84%E8%BF%9E,http://p.ayxbk.com/images/thumb/4/4c/Bk1wu.jpg/220px-Bk1wu.jpg
草部,胡黄连,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%83%A1%E9%BB%84%E8%BF%9E,http://p.ayxbk.com/images/thumb/d/dc/Bk1sj.jpg/220px-Bk1sj.jpg
草部,黄芩,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%BB%84%E8%8A%A9,http://p.ayxbk.com/images/thumb/2/24/Bket8.jpg/220px-Bket8.jpg
草部,秦艽,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%A7%A6%E8%89%BD,http://p.ayxbk.com/images/b/be/Bk3cb.jpg
